dataset,horizon,outer_fold,model_seed,physical_minutes,target_units,source_run,source_hash,protocol_hash,n_fit,n_calibration,n_test,left_model,right_model,interpretation,mae_difference,rmse_difference,coverage90_difference,signed_coverage_deviation90_difference,absolute_coverage_deviation90_difference,mpiw90_difference,winkler90_difference,coverage95_difference,signed_coverage_deviation95_difference,absolute_coverage_deviation95_difference,mpiw95_difference,winkler95_difference,tuning_seconds_difference,final_fit_seconds_difference,calibration_seconds_difference,inference_seconds_difference,model_phase_seconds_difference,process_cpu_seconds_difference,inference_rows_per_second_difference,model_phase_seconds_ratio,model_phase_seconds_ratio_status,process_cpu_seconds_ratio,process_cpu_seconds_ratio_status,inference_rows_per_second_ratio,inference_rows_per_second_ratio_status
bdg2,1,1,42,60,kWh per hour,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f1_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,3a12b8bb0420a6d8259bdf93ab6cb7ae75b0cf7fa3bea5f7cdbd7e0113915139,77682,26002,34532,attention_lstm,xgboost,left minus right within identical seed and target support,-0.08252070112464338,-0.35493082697125544,0.0035039962932931212,0.0035039962932931212,0.0035039962932931212,2.3587929687499383,-2.9433380491525725,0.004720259469477628,0.004720259469477628,0.004720259469477628,3.836825683593645,-4.174297478290441,799.7790792999949,322.2958443000025,0.6896636999954353,0.9231317000012496,1123.687718999994,1096.359375,-56958.02243093976,86.45947392471946,ok,89.93155893536121,ok,0.3114070005787342,ok
bdg2,1,1,42,60,kWh per hour,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f1_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,3a12b8bb0420a6d8259bdf93ab6cb7ae75b0cf7fa3bea5f7cdbd7e0113915139,77682,26002,34532,attention_lstm,persistence,left minus right within identical seed and target support,-1.648814553816397,-5.876322261864075,-0.001447932352600545,-0.001447932352600545,-0.001447932352600545,-25.48362109374996,-36.9229235753873,0.00477817676358161,0.00477817676358161,0.00477817676358161,-31.33900390625007,-45.0987841132297,808.4900932999954,326.0094492999997,0.9856917999932193,1.328639999992447,1136.8138743999807,1108.65625,-2860157.0685559637,50250.470637768274,ok,35478.0,ok,0.008925592367122495,ok
bdg2,1,1,42,60,kWh per hour,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f1_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,3a12b8bb0420a6d8259bdf93ab6cb7ae75b0cf7fa3bea5f7cdbd7e0113915139,77682,26002,34532,xgboost,persistence,left minus right within identical seed and target support,-1.5662938526917536,-5.52139143489282,-0.004951928645893666,-0.004951928645893666,-0.004951928645893666,-27.8424140624999,-33.97958552623473,5.791729410398183e-05,5.791729410398183e-05,5.791729410398183e-05,-35.175829589843715,-40.92448663493926,8.711014000000432,3.7136049999971874,0.296028099997784,0.4055082999911974,13.126155399986601,12.296875,-2803199.0461250236,581.2025953514536,ok,394.5,ok,0.028662144237395853,ok
bdg2,1,2,42,60,kWh per hour,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,dddadb59c5972ba0474291c8081e54c3173f4957c52de269cdc336d78fbf546e,51664,17370,34640,attention_lstm,xgboost,left minus right within identical seed and target support,1.4539836536791846,1.0766227463280842,-0.0011836027713626462,-0.0011836027713626462,-0.0011836027713626462,5.013885986327523,4.407878595647276,0.0017898383371824922,0.0017898383371824922,-0.0017898383371824922,5.194723388671889,4.38547119383432,611.3905989999985,898.8735232000035,3.013124400000379,6.190164799998456,1519.4674114000009,1381.75,-78133.14561268518,152.39260484423195,ok,143.8626817447496,ok,0.06289509595793043,ok
bdg2,1,2,42,60,kWh per hour,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,dddadb59c5972ba0474291c8081e54c3173f4957c52de269cdc336d78fbf546e,51664,17370,34640,attention_lstm,persistence,left minus right within identical seed and target support,-1.7796458151181618,-5.636438388643391,0.007650115473441077,0.007650115473441077,-0.002511547344110965,-17.2041289062513,-30.83689815262221,0.0028579676674365118,0.0028579676674365118,-0.0028579676674365118,-24.361203124999975,-36.713452918438975,618.0770438999971,901.5981275000013,3.2143098000015016,6.58712160000141,1529.4766028000013,1391.390625,-1866712.8399501771,55798.50623712708,ok,44525.5,ok,0.002801354354199956,ok
bdg2,1,2,42,60,kWh per hour,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,dddadb59c5972ba0474291c8081e54c3173f4957c52de269cdc336d78fbf546e,51664,17370,34640,xgboost,persistence,left minus right within identical seed and target support,-3.2336294687973464,-6.7130611349714755,0.008833718244803723,0.008833718244803723,-0.0013279445727483186,-22.21801489257882,-35.24477674826949,0.0010681293302540196,0.0010681293302540196,-0.0010681293302540196,-29.555926513671864,-41.098924112273295,6.686444899998605,2.7246042999977362,0.20118540000112262,0.39695680000295397,10.009191400000418,9.640625,-1788579.6943374919,366.149697973609,ok,309.5,ok,0.04454010780226394,ok
bdg2,1,2,43,60,kWh per hour,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,58027826a3a98cb7b4370662f19aaa693ba6370fe417a19ca4c32b3141872a0e,51664,17370,34640,attention_lstm,xgboost,left minus right within identical seed and target support,1.8601831734172691,2.778454437595265,0.0011836027713625352,0.0011836027713625352,0.0011836027713625352,6.8106987304688005,10.369741771492329,0.0027136258660507284,0.0027136258660507284,0.0007505773672056293,9.962465332031286,14.33247384149496,509.064695699999,205.55298010000843,0.4919302000052994,0.8897828999906778,715.9993889000034,704.34375,-62379.53099842687,75.04963407454373,ok,75.26359143327842,ok,0.30310250660411675,ok
bdg2,1,2,43,60,kWh per hour,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,58027826a3a98cb7b4370662f19aaa693ba6370fe417a19ca4c32b3141872a0e,51664,17370,34640,attention_lstm,persistence,left minus right within identical seed and target support,-1.377667336804258,-3.9564494152454373,0.008660508083140894,0.008660508083140894,-0.0015011547344111476,-15.606441406250724,-24.917215121170898,0.004965357967667394,0.004965357967667394,-0.0015011547344110365,-18.650156738281282,-26.827595081863223,515.6497181000013,208.04730260001088,0.6877025999856414,1.2652750999841373,725.649998399982,713.8125,-2984466.970507315,39072.20730376189,ok,45685.0,ok,0.009008775461509704,ok
bdg2,1,2,43,60,kWh per hour,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s43_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,58027826a3a98cb7b4370662f19aaa693ba6370fe417a19ca4c32b3141872a0e,51664,17370,34640,xgboost,persistence,left minus right within identical seed and target support,-3.237850510221527,-6.734903852840702,0.007476905311778359,0.007476905311778359,-0.0026847575057736828,-22.417140136719524,-35.28695689266323,0.002251732101616666,0.002251732101616666,-0.002251732101616666,-28.612622070312568,-41.16006892335818,6.5850224000023445,2.494322500002454,0.19577239998034202,0.3754921999934595,9.6506094999786,9.46875,-2922087.4395088884,520.6182253327586,ok,607.0,ok,0.02972187713800763,ok
bdg2,1,2,44,60,kWh per hour,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,e7988effe69158185667915053b64a81aacdfba8f19abf3f913ea7b779a2aa11,51664,17370,34640,attention_lstm,xgboost,left minus right within identical seed and target support,1.4365327045686485,1.1204522935281744,-0.00565819861431871,-0.00565819861431871,0.0013279445727483186,2.4394374999999258,4.802840062650148,-0.0022806004618937115,-0.0022806004618937115,0.0022806004618937115,1.6338857421876014,4.54235043048115,527.2160094000137,209.8256168999942,0.46263749997888226,0.9726482999976724,738.4769120999845,719.203125,-62319.12401877945,79.84839183971015,ok,79.8167808219178,ok,0.28894203323274814,ok
