dataset,outer_fold,role,method,level,strategy,window,groups,initial_n_min,initial_rank_all,online_n_min,online_rank_all
pleia,2,inner0_selection,recentred_enbpi,0.995,static,,1,3714,True,3714,True
pleia,2,inner1_selection,cqr,0.95,periodic,,1,3713,True,3713,True
pleia,2,inner1_selection,cqr,0.95,rolling,250.0,1,3713,True,250,True
pleia,2,inner1_selection,cqr,0.95,rolling,500.0,1,3713,True,500,True
pleia,2,inner1_selection,cqr,0.95,rolling,1000.0,1,3713,True,1000,True
pleia,2,inner1_selection,cqr,0.95,static,,1,3713,True,3713,True
pleia,2,inner1_selection,cqr,0.975,periodic,,1,3713,True,3713,True
pleia,2,inner1_selection,cqr,0.975,rolling,250.0,1,3713,True,250,True
pleia,2,inner1_selection,cqr,0.975,rolling,500.0,1,3713,True,500,True
pleia,2,inner1_selection,cqr,0.975,rolling,1000.0,1,3713,True,1000,True
pleia,2,inner1_selection,cqr,0.975,static,,1,3713,True,3713,True
pleia,2,inner1_selection,cqr,0.99,periodic,,1,3713,True,3713,True
pleia,2,inner1_selection,cqr,0.99,rolling,250.0,1,3713,True,250,True
pleia,2,inner1_selection,cqr,0.99,rolling,500.0,1,3713,True,500,True
pleia,2,inner1_selection,cqr,0.99,rolling,1000.0,1,3713,True,1000,True
pleia,2,inner1_selection,cqr,0.99,static,,1,3713,True,3713,True
pleia,2,inner1_selection,cqr,0.995,periodic,,1,3713,True,3713,True
pleia,2,inner1_selection,cqr,0.995,rolling,250.0,1,3713,True,250,True
pleia,2,inner1_selection,cqr,0.995,rolling,500.0,1,3713,True,500,True
pleia,2,inner1_selection,cqr,0.995,rolling,1000.0,1,3713,True,1000,True
pleia,2,inner1_selection,cqr,0.995,static,,1,3713,True,3713,True
pleia,2,inner1_selection,quantile_uncalibrated,0.95,static,,1,3713,True,3713,True
pleia,2,inner1_selection,quantile_uncalibrated,0.975,static,,1,3713,True,3713,True
pleia,2,inner1_selection,quantile_uncalibrated,0.99,static,,1,3713,True,3713,True
pleia,2,inner1_selection,quantile_uncalibrated,0.995,static,,1,3713,True,3713,True
pleia,2,inner1_selection,recentred_enbpi,0.95,native_updated,,1,3713,True,3713,True
pleia,2,inner1_selection,recentred_enbpi,0.95,periodic,,1,3713,True,3713,True
pleia,2,inner1_selection,recentred_enbpi,0.95,rolling,250.0,1,3713,True,250,True
pleia,2,inner1_selection,recentred_enbpi,0.95,rolling,500.0,1,3713,True,500,True
pleia,2,inner1_selection,recentred_enbpi,0.95,rolling,1000.0,1,3713,True,1000,True
pleia,2,inner1_selection,recentred_enbpi,0.95,static,,1,3713,True,3713,True
pleia,2,inner1_selection,recentred_enbpi,0.975,native_updated,,1,3713,True,3713,True
pleia,2,inner1_selection,recentred_enbpi,0.975,periodic,,1,3713,True,3713,True
pleia,2,inner1_selection,recentred_enbpi,0.975,rolling,250.0,1,3713,True,250,True
pleia,2,inner1_selection,recentred_enbpi,0.975,rolling,500.0,1,3713,True,500,True
pleia,2,inner1_selection,recentred_enbpi,0.975,rolling,1000.0,1,3713,True,1000,True
pleia,2,inner1_selection,recentred_enbpi,0.975,static,,1,3713,True,3713,True
pleia,2,inner1_selection,recentred_enbpi,0.99,native_updated,,1,3713,True,3713,True
pleia,2,inner1_selection,recentred_enbpi,0.99,periodic,,1,3713,True,3713,True
pleia,2,inner1_selection,recentred_enbpi,0.99,rolling,250.0,1,3713,True,250,True
pleia,2,inner1_selection,recentred_enbpi,0.99,rolling,500.0,1,3713,True,500,True
pleia,2,inner1_selection,recentred_enbpi,0.99,rolling,1000.0,1,3713,True,1000,True
pleia,2,inner1_selection,recentred_enbpi,0.99,static,,1,3713,True,3713,True
pleia,2,inner1_selection,recentred_enbpi,0.995,native_updated,,1,3713,True,3713,True
pleia,2,inner1_selection,recentred_enbpi,0.995,periodic,,1,3713,True,3713,True
pleia,2,inner1_selection,recentred_enbpi,0.995,rolling,250.0,1,3713,True,250,False
pleia,2,inner1_selection,recentred_enbpi,0.995,rolling,500.0,1,3713,True,500,True
pleia,2,inner1_selection,recentred_enbpi,0.995,rolling,1000.0,1,3713,True,1000,True
pleia,2,inner1_selection,recentred_enbpi,0.995,static,,1,3713,True,3713,True
pleia,2,outer_test,cqr,0.95,periodic,,1,4954,True,4954,True
pleia,2,outer_test,cqr,0.95,rolling,250.0,1,4954,True,250,True
pleia,2,outer_test,cqr,0.95,rolling,500.0,1,4954,True,500,True
pleia,2,outer_test,cqr,0.95,rolling,1000.0,1,4954,True,1000,True
pleia,2,outer_test,cqr,0.95,static,,1,4954,True,4954,True
pleia,2,outer_test,cqr,0.975,periodic,,1,4954,True,4954,True
pleia,2,outer_test,cqr,0.975,rolling,250.0,1,4954,True,250,True
pleia,2,outer_test,cqr,0.975,rolling,500.0,1,4954,True,500,True
pleia,2,outer_test,cqr,0.975,rolling,1000.0,1,4954,True,1000,True
pleia,2,outer_test,cqr,0.975,static,,1,4954,True,4954,True
pleia,2,outer_test,cqr,0.99,periodic,,1,4954,True,4954,True
pleia,2,outer_test,cqr,0.99,rolling,250.0,1,4954,True,250,True
pleia,2,outer_test,cqr,0.99,rolling,500.0,1,4954,True,500,True
pleia,2,outer_test,cqr,0.99,rolling,1000.0,1,4954,True,1000,True
pleia,2,outer_test,cqr,0.99,static,,1,4954,True,4954,True
pleia,2,outer_test,cqr,0.995,periodic,,1,4954,True,4954,True
pleia,2,outer_test,cqr,0.995,rolling,250.0,1,4954,True,250,True
pleia,2,outer_test,cqr,0.995,rolling,500.0,1,4954,True,500,True
pleia,2,outer_test,cqr,0.995,rolling,1000.0,1,4954,True,1000,True
pleia,2,outer_test,cqr,0.995,static,,1,4954,True,4954,True
pleia,2,outer_test,quantile_uncalibrated,0.95,static,,1,4954,True,4954,True
pleia,2,outer_test,quantile_uncalibrated,0.975,static,,1,4954,True,4954,True
pleia,2,outer_test,quantile_uncalibrated,0.99,static,,1,4954,True,4954,True
pleia,2,outer_test,quantile_uncalibrated,0.995,static,,1,4954,True,4954,True
pleia,2,outer_test,recentred_enbpi,0.95,native_updated,,1,4954,True,4954,True
pleia,2,outer_test,recentred_enbpi,0.95,periodic,,1,4954,True,4954,True
pleia,2,outer_test,recentred_enbpi,0.95,rolling,250.0,1,4954,True,250,True
pleia,2,outer_test,recentred_enbpi,0.95,rolling,500.0,1,4954,True,500,True
pleia,2,outer_test,recentred_enbpi,0.95,rolling,1000.0,1,4954,True,1000,True
pleia,2,outer_test,recentred_enbpi,0.95,static,,1,4954,True,4954,True
pleia,2,outer_test,recentred_enbpi,0.975,native_updated,,1,4954,True,4954,True
pleia,2,outer_test,recentred_enbpi,0.975,periodic,,1,4954,True,4954,True
pleia,2,outer_test,recentred_enbpi,0.975,rolling,250.0,1,4954,True,250,True
pleia,2,outer_test,recentred_enbpi,0.975,rolling,500.0,1,4954,True,500,True
pleia,2,outer_test,recentred_enbpi,0.975,rolling,1000.0,1,4954,True,1000,True
pleia,2,outer_test,recentred_enbpi,0.975,static,,1,4954,True,4954,True
pleia,2,outer_test,recentred_enbpi,0.99,native_updated,,1,4954,True,4954,True
pleia,2,outer_test,recentred_enbpi,0.99,periodic,,1,4954,True,4954,True
pleia,2,outer_test,recentred_enbpi,0.99,rolling,250.0,1,4954,True,250,True
pleia,2,outer_test,recentred_enbpi,0.99,rolling,500.0,1,4954,True,500,True
pleia,2,outer_test,recentred_enbpi,0.99,rolling,1000.0,1,4954,True,1000,True
pleia,2,outer_test,recentred_enbpi,0.99,static,,1,4954,True,4954,True
pleia,2,outer_test,recentred_enbpi,0.995,native_updated,,1,4954,True,4954,True
pleia,2,outer_test,recentred_enbpi,0.995,periodic,,1,4954,True,4954,True
pleia,2,outer_test,recentred_enbpi,0.995,rolling,250.0,1,4954,True,250,False
pleia,2,outer_test,recentred_enbpi,0.995,rolling,500.0,1,4954,True,500,True
pleia,2,outer_test,recentred_enbpi,0.995,rolling,1000.0,1,4954,True,1000,True
pleia,2,outer_test,recentred_enbpi,0.995,static,,1,4954,True,4954,True
pleia_energy,0,inner0_selection,cqr,0.95,periodic,,1,7429,True,7429,True
pleia_energy,0,inner0_selection,cqr,0.95,rolling,250.0,1,7429,True,250,True
pleia_energy,0,inner0_selection,cqr,0.95,rolling,500.0,1,7429,True,500,True
pleia_energy,0,inner0_selection,cqr,0.95,rolling,1000.0,1,7429,True,1000,True
pleia_energy,0,inner0_selection,cqr,0.95,static,,1,7429,True,7429,True
pleia_energy,0,inner0_selection,cqr,0.975,periodic,,1,7429,True,7429,True
pleia_energy,0,inner0_selection,cqr,0.975,rolling,250.0,1,7429,True,250,True
pleia_energy,0,inner0_selection,cqr,0.975,rolling,500.0,1,7429,True,500,True
pleia_energy,0,inner0_selection,cqr,0.975,rolling,1000.0,1,7429,True,1000,True
pleia_energy,0,inner0_selection,cqr,0.975,static,,1,7429,True,7429,True
pleia_energy,0,inner0_selection,cqr,0.99,periodic,,1,7429,True,7429,True
pleia_energy,0,inner0_selection,cqr,0.99,rolling,250.0,1,7429,True,250,True
pleia_energy,0,inner0_selection,cqr,0.99,rolling,500.0,1,7429,True,500,True
pleia_energy,0,inner0_selection,cqr,0.99,rolling,1000.0,1,7429,True,1000,True
pleia_energy,0,inner0_selection,cqr,0.99,static,,1,7429,True,7429,True
pleia_energy,0,inner0_selection,cqr,0.995,periodic,,1,7429,True,7429,True
pleia_energy,0,inner0_selection,cqr,0.995,rolling,250.0,1,7429,True,250,True
pleia_energy,0,inner0_selection,cqr,0.995,rolling,500.0,1,7429,True,500,True
pleia_energy,0,inner0_selection,cqr,0.995,rolling,1000.0,1,7429,True,1000,True
pleia_energy,0,inner0_selection,cqr,0.995,static,,1,7429,True,7429,True
pleia_energy,0,inner0_selection,quantile_uncalibrated,0.95,static,,1,7429,True,7429,True
pleia_energy,0,inner0_selection,quantile_uncalibrated,0.975,static,,1,7429,True,7429,True
pleia_energy,0,inner0_selection,quantile_uncalibrated,0.99,static,,1,7429,True,7429,True
pleia_energy,0,inner0_selection,quantile_uncalibrated,0.995,static,,1,7429,True,7429,True
pleia_energy,0,inner0_selection,recentred_enbpi,0.95,native_updated,,1,7429,True,7429,True
pleia_energy,0,inner0_selection,recentred_enbpi,0.95,periodic,,1,7429,True,7429,True
pleia_energy,0,inner0_selection,recentred_enbpi,0.95,rolling,250.0,1,7429,True,250,True
pleia_energy,0,inner0_selection,recentred_enbpi,0.95,rolling,500.0,1,7429,True,500,True
pleia_energy,0,inner0_selection,recentred_enbpi,0.95,rolling,1000.0,1,7429,True,1000,True
pleia_energy,0,inner0_selection,recentred_enbpi,0.95,static,,1,7429,True,7429,True
pleia_energy,0,inner0_selection,recentred_enbpi,0.975,native_updated,,1,7429,True,7429,True
pleia_energy,0,inner0_selection,recentred_enbpi,0.975,periodic,,1,7429,True,7429,True
pleia_energy,0,inner0_selection,recentred_enbpi,0.975,rolling,250.0,1,7429,True,250,True
pleia_energy,0,inner0_selection,recentred_enbpi,0.975,rolling,500.0,1,7429,True,500,True
pleia_energy,0,inner0_selection,recentred_enbpi,0.975,rolling,1000.0,1,7429,True,1000,True
pleia_energy,0,inner0_selection,recentred_enbpi,0.975,static,,1,7429,True,7429,True
pleia_energy,0,inner0_selection,recentred_enbpi,0.99,native_updated,,1,7429,True,7429,True
pleia_energy,0,inner0_selection,recentred_enbpi,0.99,periodic,,1,7429,True,7429,True
pleia_energy,0,inner0_selection,recentred_enbpi,0.99,rolling,250.0,1,7429,True,250,True
pleia_energy,0,inner0_selection,recentred_enbpi,0.99,rolling,500.0,1,7429,True,500,True
pleia_energy,0,inner0_selection,recentred_enbpi,0.99,rolling,1000.0,1,7429,True,1000,True
pleia_energy,0,inner0_selection,recentred_enbpi,0.99,static,,1,7429,True,7429,True
pleia_energy,0,inner0_selection,recentred_enbpi,0.995,native_updated,,1,7429,True,7429,True
pleia_energy,0,inner0_selection,recentred_enbpi,0.995,periodic,,1,7429,True,7429,True
pleia_energy,0,inner0_selection,recentred_enbpi,0.995,rolling,250.0,1,7429,True,250,False
pleia_energy,0,inner0_selection,recentred_enbpi,0.995,rolling,500.0,1,7429,True,500,True
pleia_energy,0,inner0_selection,recentred_enbpi,0.995,rolling,1000.0,1,7429,True,1000,True
pleia_energy,0,inner0_selection,recentred_enbpi,0.995,static,,1,7429,True,7429,True
pleia_energy,0,inner1_selection,cqr,0.95,periodic,,1,7429,True,7429,True
pleia_energy,0,inner1_selection,cqr,0.95,rolling,250.0,1,7429,True,250,True
pleia_energy,0,inner1_selection,cqr,0.95,rolling,500.0,1,7429,True,500,True
pleia_energy,0,inner1_selection,cqr,0.95,rolling,1000.0,1,7429,True,1000,True
pleia_energy,0,inner1_selection,cqr,0.95,static,,1,7429,True,7429,True
pleia_energy,0,inner1_selection,cqr,0.975,periodic,,1,7429,True,7429,True
pleia_energy,0,inner1_selection,cqr,0.975,rolling,250.0,1,7429,True,250,True
pleia_energy,0,inner1_selection,cqr,0.975,rolling,500.0,1,7429,True,500,True
pleia_energy,0,inner1_selection,cqr,0.975,rolling,1000.0,1,7429,True,1000,True
pleia_energy,0,inner1_selection,cqr,0.975,static,,1,7429,True,7429,True
pleia_energy,0,inner1_selection,cqr,0.99,periodic,,1,7429,True,7429,True
pleia_energy,0,inner1_selection,cqr,0.99,rolling,250.0,1,7429,True,250,True
pleia_energy,0,inner1_selection,cqr,0.99,rolling,500.0,1,7429,True,500,True
pleia_energy,0,inner1_selection,cqr,0.99,rolling,1000.0,1,7429,True,1000,True
pleia_energy,0,inner1_selection,cqr,0.99,static,,1,7429,True,7429,True
pleia_energy,0,inner1_selection,cqr,0.995,periodic,,1,7429,True,7429,True
pleia_energy,0,inner1_selection,cqr,0.995,rolling,250.0,1,7429,True,250,True
pleia_energy,0,inner1_selection,cqr,0.995,rolling,500.0,1,7429,True,500,True
pleia_energy,0,inner1_selection,cqr,0.995,rolling,1000.0,1,7429,True,1000,True
pleia_energy,0,inner1_selection,cqr,0.995,static,,1,7429,True,7429,True
pleia_energy,0,inner1_selection,quantile_uncalibrated,0.95,static,,1,7429,True,7429,True
pleia_energy,0,inner1_selection,quantile_uncalibrated,0.975,static,,1,7429,True,7429,True
pleia_energy,0,inner1_selection,quantile_uncalibrated,0.99,static,,1,7429,True,7429,True
pleia_energy,0,inner1_selection,quantile_uncalibrated,0.995,static,,1,7429,True,7429,True
pleia_energy,0,inner1_selection,recentred_enbpi,0.95,native_updated,,1,7429,True,7429,True
pleia_energy,0,inner1_selection,recentred_enbpi,0.95,periodic,,1,7429,True,7429,True
pleia_energy,0,inner1_selection,recentred_enbpi,0.95,rolling,250.0,1,7429,True,250,True
pleia_energy,0,inner1_selection,recentred_enbpi,0.95,rolling,500.0,1,7429,True,500,True
pleia_energy,0,inner1_selection,recentred_enbpi,0.95,rolling,1000.0,1,7429,True,1000,True
pleia_energy,0,inner1_selection,recentred_enbpi,0.95,static,,1,7429,True,7429,True
pleia_energy,0,inner1_selection,recentred_enbpi,0.975,native_updated,,1,7429,True,7429,True
pleia_energy,0,inner1_selection,recentred_enbpi,0.975,periodic,,1,7429,True,7429,True
pleia_energy,0,inner1_selection,recentred_enbpi,0.975,rolling,250.0,1,7429,True,250,True
pleia_energy,0,inner1_selection,recentred_enbpi,0.975,rolling,500.0,1,7429,True,500,True
pleia_energy,0,inner1_selection,recentred_enbpi,0.975,rolling,1000.0,1,7429,True,1000,True
pleia_energy,0,inner1_selection,recentred_enbpi,0.975,static,,1,7429,True,7429,True
pleia_energy,0,inner1_selection,recentred_enbpi,0.99,native_updated,,1,7429,True,7429,True
pleia_energy,0,inner1_selection,recentred_enbpi,0.99,periodic,,1,7429,True,7429,True
pleia_energy,0,inner1_selection,recentred_enbpi,0.99,rolling,250.0,1,7429,True,250,True
pleia_energy,0,inner1_selection,recentred_enbpi,0.99,rolling,500.0,1,7429,True,500,True
pleia_energy,0,inner1_selection,recentred_enbpi,0.99,rolling,1000.0,1,7429,True,1000,True
pleia_energy,0,inner1_selection,recentred_enbpi,0.99,static,,1,7429,True,7429,True
pleia_energy,0,inner1_selection,recentred_enbpi,0.995,native_updated,,1,7429,True,7429,True
pleia_energy,0,inner1_selection,recentred_enbpi,0.995,periodic,,1,7429,True,7429,True
pleia_energy,0,inner1_selection,recentred_enbpi,0.995,rolling,250.0,1,7429,True,250,False
pleia_energy,0,inner1_selection,recentred_enbpi,0.995,rolling,500.0,1,7429,True,500,True
pleia_energy,0,inner1_selection,recentred_enbpi,0.995,rolling,1000.0,1,7429,True,1000,True
pleia_energy,0,inner1_selection,recentred_enbpi,0.995,static,,1,7429,True,7429,True
pleia_energy,0,outer_test,cqr,0.95,periodic,,1,9907,True,9907,True
pleia_energy,0,outer_test,cqr,0.95,rolling,250.0,1,9907,True,250,True
pleia_energy,0,outer_test,cqr,0.95,rolling,500.0,1,9907,True,500,True
pleia_energy,0,outer_test,cqr,0.95,rolling,1000.0,1,9907,True,1000,True
pleia_energy,0,outer_test,cqr,0.95,static,,1,9907,True,9907,True
pleia_energy,0,outer_test,cqr,0.975,periodic,,1,9907,True,9907,True
pleia_energy,0,outer_test,cqr,0.975,rolling,250.0,1,9907,True,250,True
pleia_energy,0,outer_test,cqr,0.975,rolling,500.0,1,9907,True,500,True
pleia_energy,0,outer_test,cqr,0.975,rolling,1000.0,1,9907,True,1000,True
pleia_energy,0,outer_test,cqr,0.975,static,,1,9907,True,9907,True
pleia_energy,0,outer_test,cqr,0.99,periodic,,1,9907,True,9907,True
pleia_energy,0,outer_test,cqr,0.99,rolling,250.0,1,9907,True,250,True
pleia_energy,0,outer_test,cqr,0.99,rolling,500.0,1,9907,True,500,True
pleia_energy,0,outer_test,cqr,0.99,rolling,1000.0,1,9907,True,1000,True
pleia_energy,0,outer_test,cqr,0.99,static,,1,9907,True,9907,True
pleia_energy,0,outer_test,cqr,0.995,periodic,,1,9907,True,9907,True
pleia_energy,0,outer_test,cqr,0.995,rolling,250.0,1,9907,True,250,True
pleia_energy,0,outer_test,cqr,0.995,rolling,500.0,1,9907,True,500,True
pleia_energy,0,outer_test,cqr,0.995,rolling,1000.0,1,9907,True,1000,True
pleia_energy,0,outer_test,cqr,0.995,static,,1,9907,True,9907,True
pleia_energy,0,outer_test,quantile_uncalibrated,0.95,static,,1,9907,True,9907,True
pleia_energy,0,outer_test,quantile_uncalibrated,0.975,static,,1,9907,True,9907,True
pleia_energy,0,outer_test,quantile_uncalibrated,0.99,static,,1,9907,True,9907,True
pleia_energy,0,outer_test,quantile_uncalibrated,0.995,static,,1,9907,True,9907,True
pleia_energy,0,outer_test,recentred_enbpi,0.95,native_updated,,1,9907,True,9907,True
pleia_energy,0,outer_test,recentred_enbpi,0.95,periodic,,1,9907,True,9907,True
pleia_energy,0,outer_test,recentred_enbpi,0.95,rolling,250.0,1,9907,True,250,True
pleia_energy,0,outer_test,recentred_enbpi,0.95,rolling,500.0,1,9907,True,500,True
pleia_energy,0,outer_test,recentred_enbpi,0.95,rolling,1000.0,1,9907,True,1000,True
pleia_energy,0,outer_test,recentred_enbpi,0.95,static,,1,9907,True,9907,True
pleia_energy,0,outer_test,recentred_enbpi,0.975,native_updated,,1,9907,True,9907,True
pleia_energy,0,outer_test,recentred_enbpi,0.975,periodic,,1,9907,True,9907,True
pleia_energy,0,outer_test,recentred_enbpi,0.975,rolling,250.0,1,9907,True,250,True
pleia_energy,0,outer_test,recentred_enbpi,0.975,rolling,500.0,1,9907,True,500,True
pleia_energy,0,outer_test,recentred_enbpi,0.975,rolling,1000.0,1,9907,True,1000,True
pleia_energy,0,outer_test,recentred_enbpi,0.975,static,,1,9907,True,9907,True
pleia_energy,0,outer_test,recentred_enbpi,0.99,native_updated,,1,9907,True,9907,True
pleia_energy,0,outer_test,recentred_enbpi,0.99,periodic,,1,9907,True,9907,True
pleia_energy,0,outer_test,recentred_enbpi,0.99,rolling,250.0,1,9907,True,250,True
pleia_energy,0,outer_test,recentred_enbpi,0.99,rolling,500.0,1,9907,True,500,True
pleia_energy,0,outer_test,recentred_enbpi,0.99,rolling,1000.0,1,9907,True,1000,True
pleia_energy,0,outer_test,recentred_enbpi,0.99,static,,1,9907,True,9907,True
pleia_energy,0,outer_test,recentred_enbpi,0.995,native_updated,,1,9907,True,9907,True
pleia_energy,0,outer_test,recentred_enbpi,0.995,periodic,,1,9907,True,9907,True
pleia_energy,0,outer_test,recentred_enbpi,0.995,rolling,250.0,1,9907,True,250,False
pleia_energy,0,outer_test,recentred_enbpi,0.995,rolling,500.0,1,9907,True,500,True
pleia_energy,0,outer_test,recentred_enbpi,0.995,rolling,1000.0,1,9907,True,1000,True
pleia_energy,0,outer_test,recentred_enbpi,0.995,static,,1,9907,True,9907,True
pleia_energy,1,inner0_selection,cqr,0.95,periodic,,1,5571,True,5571,True
pleia_energy,1,inner0_selection,cqr,0.95,rolling,250.0,1,5571,True,250,True
pleia_energy,1,inner0_selection,cqr,0.95,rolling,500.0,1,5571,True,500,True
pleia_energy,1,inner0_selection,cqr,0.95,rolling,1000.0,1,5571,True,1000,True
pleia_energy,1,inner0_selection,cqr,0.95,static,,1,5571,True,5571,True
pleia_energy,1,inner0_selection,cqr,0.975,periodic,,1,5571,True,5571,True
pleia_energy,1,inner0_selection,cqr,0.975,rolling,250.0,1,5571,True,250,True
pleia_energy,1,inner0_selection,cqr,0.975,rolling,500.0,1,5571,True,500,True
pleia_energy,1,inner0_selection,cqr,0.975,rolling,1000.0,1,5571,True,1000,True
pleia_energy,1,inner0_selection,cqr,0.975,static,,1,5571,True,5571,True
pleia_energy,1,inner0_selection,cqr,0.99,periodic,,1,5571,True,5571,True
pleia_energy,1,inner0_selection,cqr,0.99,rolling,250.0,1,5571,True,250,True
pleia_energy,1,inner0_selection,cqr,0.99,rolling,500.0,1,5571,True,500,True
pleia_energy,1,inner0_selection,cqr,0.99,rolling,1000.0,1,5571,True,1000,True
pleia_energy,1,inner0_selection,cqr,0.99,static,,1,5571,True,5571,True
pleia_energy,1,inner0_selection,cqr,0.995,periodic,,1,5571,True,5571,True
pleia_energy,1,inner0_selection,cqr,0.995,rolling,250.0,1,5571,True,250,True
pleia_energy,1,inner0_selection,cqr,0.995,rolling,500.0,1,5571,True,500,True
pleia_energy,1,inner0_selection,cqr,0.995,rolling,1000.0,1,5571,True,1000,True
pleia_energy,1,inner0_selection,cqr,0.995,static,,1,5571,True,5571,True
pleia_energy,1,inner0_selection,quantile_uncalibrated,0.95,static,,1,5571,True,5571,True
pleia_energy,1,inner0_selection,quantile_uncalibrated,0.975,static,,1,5571,True,5571,True
pleia_energy,1,inner0_selection,quantile_uncalibrated,0.99,static,,1,5571,True,5571,True
pleia_energy,1,inner0_selection,quantile_uncalibrated,0.995,static,,1,5571,True,5571,True
pleia_energy,1,inner0_selection,recentred_enbpi,0.95,native_updated,,1,5571,True,5571,True
pleia_energy,1,inner0_selection,recentred_enbpi,0.95,periodic,,1,5571,True,5571,True
pleia_energy,1,inner0_selection,recentred_enbpi,0.95,rolling,250.0,1,5571,True,250,True
pleia_energy,1,inner0_selection,recentred_enbpi,0.95,rolling,500.0,1,5571,True,500,True
pleia_energy,1,inner0_selection,recentred_enbpi,0.95,rolling,1000.0,1,5571,True,1000,True
pleia_energy,1,inner0_selection,recentred_enbpi,0.95,static,,1,5571,True,5571,True
pleia_energy,1,inner0_selection,recentred_enbpi,0.975,native_updated,,1,5571,True,5571,True
pleia_energy,1,inner0_selection,recentred_enbpi,0.975,periodic,,1,5571,True,5571,True
pleia_energy,1,inner0_selection,recentred_enbpi,0.975,rolling,250.0,1,5571,True,250,True
pleia_energy,1,inner0_selection,recentred_enbpi,0.975,rolling,500.0,1,5571,True,500,True
pleia_energy,1,inner0_selection,recentred_enbpi,0.975,rolling,1000.0,1,5571,True,1000,True
pleia_energy,1,inner0_selection,recentred_enbpi,0.975,static,,1,5571,True,5571,True
pleia_energy,1,inner0_selection,recentred_enbpi,0.99,native_updated,,1,5571,True,5571,True
pleia_energy,1,inner0_selection,recentred_enbpi,0.99,periodic,,1,5571,True,5571,True
pleia_energy,1,inner0_selection,recentred_enbpi,0.99,rolling,250.0,1,5571,True,250,True
pleia_energy,1,inner0_selection,recentred_enbpi,0.99,rolling,500.0,1,5571,True,500,True
pleia_energy,1,inner0_selection,recentred_enbpi,0.99,rolling,1000.0,1,5571,True,1000,True
pleia_energy,1,inner0_selection,recentred_enbpi,0.99,static,,1,5571,True,5571,True
pleia_energy,1,inner0_selection,recentred_enbpi,0.995,native_updated,,1,5571,True,5571,True
pleia_energy,1,inner0_selection,recentred_enbpi,0.995,periodic,,1,5571,True,5571,True
pleia_energy,1,inner0_selection,recentred_enbpi,0.995,rolling,250.0,1,5571,True,250,False
pleia_energy,1,inner0_selection,recentred_enbpi,0.995,rolling,500.0,1,5571,True,500,True
pleia_energy,1,inner0_selection,recentred_enbpi,0.995,rolling,1000.0,1,5571,True,1000,True
pleia_energy,1,inner0_selection,recentred_enbpi,0.995,static,,1,5571,True,5571,True
pleia_energy,1,inner1_selection,cqr,0.95,periodic,,1,5571,True,5571,True
pleia_energy,1,inner1_selection,cqr,0.95,rolling,250.0,1,5571,True,250,True
pleia_energy,1,inner1_selection,cqr,0.95,rolling,500.0,1,5571,True,500,True
pleia_energy,1,inner1_selection,cqr,0.95,rolling,1000.0,1,5571,True,1000,True
pleia_energy,1,inner1_selection,cqr,0.95,static,,1,5571,True,5571,True
pleia_energy,1,inner1_selection,cqr,0.975,periodic,,1,5571,True,5571,True
pleia_energy,1,inner1_selection,cqr,0.975,rolling,250.0,1,5571,True,250,True
pleia_energy,1,inner1_selection,cqr,0.975,rolling,500.0,1,5571,True,500,True
pleia_energy,1,inner1_selection,cqr,0.975,rolling,1000.0,1,5571,True,1000,True
pleia_energy,1,inner1_selection,cqr,0.975,static,,1,5571,True,5571,True
pleia_energy,1,inner1_selection,cqr,0.99,periodic,,1,5571,True,5571,True
pleia_energy,1,inner1_selection,cqr,0.99,rolling,250.0,1,5571,True,250,True
pleia_energy,1,inner1_selection,cqr,0.99,rolling,500.0,1,5571,True,500,True
pleia_energy,1,inner1_selection,cqr,0.99,rolling,1000.0,1,5571,True,1000,True
pleia_energy,1,inner1_selection,cqr,0.99,static,,1,5571,True,5571,True
pleia_energy,1,inner1_selection,cqr,0.995,periodic,,1,5571,True,5571,True
pleia_energy,1,inner1_selection,cqr,0.995,rolling,250.0,1,5571,True,250,True
pleia_energy,1,inner1_selection,cqr,0.995,rolling,500.0,1,5571,True,500,True
pleia_energy,1,inner1_selection,cqr,0.995,rolling,1000.0,1,5571,True,1000,True
pleia_energy,1,inner1_selection,cqr,0.995,static,,1,5571,True,5571,True
pleia_energy,1,inner1_selection,quantile_uncalibrated,0.95,static,,1,5571,True,5571,True
pleia_energy,1,inner1_selection,quantile_uncalibrated,0.975,static,,1,5571,True,5571,True
pleia_energy,1,inner1_selection,quantile_uncalibrated,0.99,static,,1,5571,True,5571,True
pleia_energy,1,inner1_selection,quantile_uncalibrated,0.995,static,,1,5571,True,5571,True
pleia_energy,1,inner1_selection,recentred_enbpi,0.95,native_updated,,1,5571,True,5571,True
pleia_energy,1,inner1_selection,recentred_enbpi,0.95,periodic,,1,5571,True,5571,True
pleia_energy,1,inner1_selection,recentred_enbpi,0.95,rolling,250.0,1,5571,True,250,True
pleia_energy,1,inner1_selection,recentred_enbpi,0.95,rolling,500.0,1,5571,True,500,True
pleia_energy,1,inner1_selection,recentred_enbpi,0.95,rolling,1000.0,1,5571,True,1000,True
pleia_energy,1,inner1_selection,recentred_enbpi,0.95,static,,1,5571,True,5571,True
pleia_energy,1,inner1_selection,recentred_enbpi,0.975,native_updated,,1,5571,True,5571,True
pleia_energy,1,inner1_selection,recentred_enbpi,0.975,periodic,,1,5571,True,5571,True
