dataset,horizon,outer_fold,model_seed,target_units,physical_minutes,source_run,source_hash,protocol_hash,new_batch_unit,model,group_id,nominal_level,aggregation,n,mae,rmse,coverage,mpiw,winkler,negative_points,negative_lower_bounds,phase,historical_training_use
rico,60,2,44,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,01b0ab222def6a097a71173f162a9d0a123cee2401f80ab01e645ea937b84d41,True,persistence,P1S101,0.9,"within original group, sample weighted",157,0.5235668789808918,0.5524698452733015,1.0,3.600000000000002,3.600000000000002,0,0,1.0,True
rico,60,2,44,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,01b0ab222def6a097a71173f162a9d0a123cee2401f80ab01e645ea937b84d41,True,persistence,P3S0,0.9,"within original group, sample weighted",157,2.0426751592356687,2.375686290383996,0.554140127388535,3.600000000000002,15.931210191082801,0,0,3.0,True
rico,60,2,44,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,01b0ab222def6a097a71173f162a9d0a123cee2401f80ab01e645ea937b84d41,True,persistence,P3S1,0.9,"within original group, sample weighted",157,0.4261146496815286,0.43369248549464423,1.0,3.600000000000002,3.600000000000002,0,0,3.0,True
rico,60,2,44,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,01b0ab222def6a097a71173f162a9d0a123cee2401f80ab01e645ea937b84d41,True,persistence,P3S2,0.9,"within original group, sample weighted",157,0.6847133757961783,0.8061467679430143,0.9872611464968153,3.600000000000002,3.638216560509556,0,0,3.0,True
rico,60,2,44,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,01b0ab222def6a097a71173f162a9d0a123cee2401f80ab01e645ea937b84d41,True,persistence,P3S3,0.9,"within original group, sample weighted",157,0.3878980891719742,0.608066791503973,1.0,3.600000000000002,3.600000000000002,0,0,3.0,True
rico,60,2,44,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,01b0ab222def6a097a71173f162a9d0a123cee2401f80ab01e645ea937b84d41,True,persistence,P3S4,0.9,"within original group, sample weighted",157,0.7108280254777071,0.8665768367621758,0.9808917197452229,3.600000000000002,3.638216560509555,0,0,3.0,True
rico,60,2,44,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,01b0ab222def6a097a71173f162a9d0a123cee2401f80ab01e645ea937b84d41,True,persistence,P3S5,0.9,"within original group, sample weighted",157,0.3649681528662419,0.4847351368182855,1.0,3.600000000000002,3.600000000000002,0,0,3.0,True
rico,60,2,44,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,01b0ab222def6a097a71173f162a9d0a123cee2401f80ab01e645ea937b84d41,True,persistence,P4S0,0.9,"within original group, sample weighted",157,0.9203821656050956,1.0884746529266056,0.89171974522293,3.600000000000002,4.3898089171974535,0,0,4.0,True
rico,60,2,44,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,01b0ab222def6a097a71173f162a9d0a123cee2401f80ab01e645ea937b84d41,True,persistence,P4S1,0.9,"within original group, sample weighted",157,1.1617834394904458,1.2402485881909135,0.9044585987261147,3.600000000000002,3.9312101910828043,0,0,4.0,True
rico,60,2,44,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,01b0ab222def6a097a71173f162a9d0a123cee2401f80ab01e645ea937b84d41,True,persistence,P4S2,0.9,"within original group, sample weighted",157,0.6407643312101912,0.7109695542049389,1.0,3.600000000000002,3.600000000000002,0,0,4.0,True
rico,60,2,44,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,01b0ab222def6a097a71173f162a9d0a123cee2401f80ab01e645ea937b84d41,True,persistence,P4S3,0.9,"within original group, sample weighted",157,0.11210191082802569,0.17594150736179018,1.0,3.600000000000002,3.600000000000002,0,0,4.0,True
rico,60,2,44,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,01b0ab222def6a097a71173f162a9d0a123cee2401f80ab01e645ea937b84d41,True,persistence,P4S5,0.9,"within original group, sample weighted",157,0.5636942675159233,0.6142158793916151,1.0,3.600000000000002,3.600000000000002,0,0,4.0,True
rico,60,2,44,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,01b0ab222def6a097a71173f162a9d0a123cee2401f80ab01e645ea937b84d41,True,persistence,P4S6,0.9,"within original group, sample weighted",157,0.22929936305732476,0.2766956984742266,1.0,3.600000000000002,3.600000000000002,0,0,4.0,True
rico,60,2,44,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,01b0ab222def6a097a71173f162a9d0a123cee2401f80ab01e645ea937b84d41,True,persistence,P4S7,0.9,"within original group, sample weighted",157,0.5388535031847131,0.6528721453826625,1.0,3.600000000000002,3.600000000000002,0,0,4.0,True
rico,60,2,44,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,01b0ab222def6a097a71173f162a9d0a123cee2401f80ab01e645ea937b84d41,True,persistence,P4S8,0.9,"within original group, sample weighted",157,0.102547770700637,0.1713565211039277,1.0,3.600000000000002,3.600000000000002,0,0,4.0,True
rico,60,2,44,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,01b0ab222def6a097a71173f162a9d0a123cee2401f80ab01e645ea937b84d41,True,persistence,P4S9,0.9,"within original group, sample weighted",157,0.6898089171974522,1.0462246351817313,0.89171974522293,3.600000000000002,5.319745222929938,0,0,4.0,True
rico,60,2,44,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,01b0ab222def6a097a71173f162a9d0a123cee2401f80ab01e645ea937b84d41,True,persistence,P4S10,0.9,"within original group, sample weighted",157,0.21337579617834396,0.3054702962823524,1.0,3.600000000000002,3.600000000000002,0,0,4.0,True
rico,60,2,44,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,01b0ab222def6a097a71173f162a9d0a123cee2401f80ab01e645ea937b84d41,True,persistence,P4S11,0.9,"within original group, sample weighted",157,0.1445859872611462,0.20362948743457113,1.0,3.600000000000002,3.600000000000002,0,0,4.0,True
rico,60,2,44,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,01b0ab222def6a097a71173f162a9d0a123cee2401f80ab01e645ea937b84d41,True,persistence,P4S12,0.9,"within original group, sample weighted",157,1.0528662420382164,1.228198411324334,0.8598726114649682,3.600000000000002,5.039490445859873,0,0,4.0,True
rico,60,2,44,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,01b0ab222def6a097a71173f162a9d0a123cee2401f80ab01e645ea937b84d41,True,persistence,P4S13,0.9,"within original group, sample weighted",157,1.5528662420382167,1.7700984175020642,0.6751592356687898,3.600000000000002,8.963057324840761,0,0,4.0,True
rico,60,2,44,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,01b0ab222def6a097a71173f162a9d0a123cee2401f80ab01e645ea937b84d41,True,persistence,P4S14,0.9,"within original group, sample weighted",157,0.5573248407643312,0.5682132012178321,1.0,3.600000000000002,3.600000000000002,0,0,4.0,True
rico,60,2,44,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s44_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,01b0ab222def6a097a71173f162a9d0a123cee2401f80ab01e645ea937b84d41,True,persistence,P4S15,0.9,"within original group, sample weighted",157,0.8961783439490447,1.1255288919544464,0.8726114649681529,3.600000000000002,5.026751592356688,0,0,4.0,True
