dataset,target,target_kind,units,sampling_freq,horizon_steps,horizon_minutes,conformal_method,nominal_coverage,role,rule,true_positives,false_positives,false_negatives,precision,recall,f1,false_alert_events_per_day,mean_detection_delay_min,median_detection_delay_min,n_events,point_false_positives,point_true_negatives,far,k,m,n_violation_steps,n_alert_steps,selection_partition,n_selection_windows,selected_operating_rule,selection_reason
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,cqr,0.95,calibration_selection,2-of-3,37,88,5,0.296,0.8809523809523809,0.4431137724550898,3.1343062082611923,17.83783783783784,10.0,42,239,2811,0.0783606557377049,2,3,999,898,calibration_rule_block,4043.0,False,selected on calibration data only: highest event recall among rules within the budget of 1.0 false alerts/day; ties broken by median detection delay then false-alert frequency. No test observation influenced this choice.
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,cqr,0.95,calibration_selection,3-of-5,36,46,6,0.4390243902439024,0.8571428571428571,0.5806451612903225,1.6383873361365322,28.33333333333333,20.0,42,155,2895,0.0508196721311475,3,5,999,813,calibration_rule_block,4043.0,False,selected on calibration data only: highest event recall among rules within the budget of 1.0 false alerts/day; ties broken by median detection delay then false-alert frequency. No test observation influenced this choice.
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,cqr,0.95,calibration_selection,4-of-7,35,25,7,0.5833333333333334,0.8333333333333334,0.6862745098039216,0.8904279000742024,35.714285714285715,30.0,42,107,2943,0.0350819672131147,4,7,999,777,calibration_rule_block,4043.0,True,selected on calibration data only: highest event recall among rules within the budget of 1.0 false alerts/day; ties broken by median detection delay then false-alert frequency. No test observation influenced this choice.
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,cqr,0.95,post_hoc_sensitivity,1-of-1,39,365,3,0.0965346534653465,0.9285714285714286,0.1748878923766816,5.199841709537001,12.307692307692308,0.0,42,578,8537,0.0634119583104772,1,1,1216,1216,,,False,selected on calibration data only: highest event recall among rules within the budget of 1.0 false alerts/day; ties broken by median detection delay then false-alert frequency. No test observation influenced this choice.
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,cqr,0.95,post_hoc_sensitivity,2-of-3,36,140,6,0.2045454545454545,0.8571428571428571,0.3302752293577982,1.994459833795014,22.77777777777778,10.0,42,372,8743,0.0408118486012068,2,3,1216,1008,,,False,selected on calibration data only: highest event recall among rules within the budget of 1.0 false alerts/day; ties broken by median detection delay then false-alert frequency. No test observation influenced this choice.
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,cqr,0.95,post_hoc_sensitivity,3-of-5,34,63,8,0.3505154639175257,0.8095238095238095,0.4892086330935252,0.8975069252077562,29.11764705882353,20.0,42,229,8886,0.0251234229292375,3,5,1216,862,,,False,selected on calibration data only: highest event recall among rules within the budget of 1.0 false alerts/day; ties broken by median detection delay then false-alert frequency. No test observation influenced this choice.
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,cqr,0.95,post_hoc_sensitivity,4-of-7,34,25,8,0.576271186440678,0.8095238095238095,0.6732673267326733,0.3561535417491096,38.8235294117647,30.0,42,120,8995,0.0131651124520021,4,7,1216,753,,,True,selected on calibration data only: highest event recall among rules within the budget of 1.0 false alerts/day; ties broken by median detection delay then false-alert frequency. No test observation influenced this choice.
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,cqr,0.95,clean_test_no_events,1-of-1,0,394,0,0.0,,,5.612979817965968,,,0,634,9474,0.0627225959635932,1,1,634,634,,,False,selected on calibration data only: highest event recall among rules within the budget of 1.0 false alerts/day; ties broken by median detection delay then false-alert frequency. No test observation influenced this choice.
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,cqr,0.95,clean_test_no_events,2-of-3,0,153,0,0.0,,,2.179659675504551,,,0,414,9694,0.0409576573011476,2,3,634,414,,,False,selected on calibration data only: highest event recall among rules within the budget of 1.0 false alerts/day; ties broken by median detection delay then false-alert frequency. No test observation influenced this choice.
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,cqr,0.95,clean_test_no_events,3-of-5,0,67,0,0.0,,,0.9544914918876138,,,0,253,9855,0.0250296794618124,3,5,634,253,,,False,selected on calibration data only: highest event recall among rules within the budget of 1.0 false alerts/day; ties broken by median detection delay then false-alert frequency. No test observation influenced this choice.
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,cqr,0.95,clean_test_no_events,4-of-7,0,29,0,0.0,,,0.4131381084289671,,,0,144,9964,0.0142461416699643,4,7,634,144,,,True,selected on calibration data only: highest event recall among rules within the budget of 1.0 false alerts/day; ties broken by median detection delay then false-alert frequency. No test observation influenced this choice.
