dataset,outer_fold,model_seed,control_id,rule_id,channel,group_id,original_segment_id,eligible_rows,asset_days,episodes,episodes_per_asset_day,alert_rows,time_in_alert_days
pleia,2,44,quantile_static,single_sample,numerical_only,None,None:segment:0,9907,68.79861111111111,262,3.808216412637529,7621,52.92361111111111
pleia,2,44,quantile_static,single_sample,availability_only,None,None:segment:0,9907,68.79861111111111,0,0.0,0,0.0
pleia,2,44,quantile_static,single_sample,combined,None,None:segment:0,9907,68.79861111111111,262,3.808216412637529,7621,52.92361111111111
pleia,2,44,quantile_static,30min_3of3,numerical_only,None,None:segment:0,9907,68.79861111111111,99,1.438982537599677,7221,50.14583333333333
pleia,2,44,quantile_static,30min_3of3,availability_only,None,None:segment:0,9907,68.79861111111111,0,0.0,0,0.0
pleia,2,44,quantile_static,30min_3of3,combined,None,None:segment:0,9907,68.79861111111111,99,1.438982537599677,7221,50.14583333333333
pleia,2,44,quantile_static,60min_4of6,numerical_only,None,None:segment:0,9907,68.79861111111111,73,1.0610679317654184,7395,51.354166666666664
pleia,2,44,quantile_static,60min_4of6,availability_only,None,None:segment:0,9907,68.79861111111111,0,0.0,0,0.0
pleia,2,44,quantile_static,60min_4of6,combined,None,None:segment:0,9907,68.79861111111111,73,1.0610679317654184,7395,51.354166666666664
pleia,2,44,quantile_static,180min_3of18,numerical_only,None,None:segment:0,9907,68.79861111111111,46,0.6686181487836883,8590,59.65277777777777
pleia,2,44,quantile_static,180min_3of18,availability_only,None,None:segment:0,9907,68.79861111111111,0,0.0,0,0.0
pleia,2,44,quantile_static,180min_3of18,combined,None,None:segment:0,9907,68.79861111111111,46,0.6686181487836883,8590,59.65277777777777
pleia,2,44,quantile_static,360min_4of36,numerical_only,None,None:segment:0,9907,68.79861111111111,28,0.40698496012920155,9030,62.70833333333333
pleia,2,44,quantile_static,360min_4of36,availability_only,None,None:segment:0,9907,68.79861111111111,0,0.0,0,0.0
pleia,2,44,quantile_static,360min_4of36,combined,None,None:segment:0,9907,68.79861111111111,28,0.40698496012920155,9030,62.70833333333333
pleia,2,44,cqr_static,single_sample,numerical_only,None,None:segment:0,9907,68.79861111111111,197,2.863429898051882,6730,46.73611111111111
pleia,2,44,cqr_static,single_sample,availability_only,None,None:segment:0,9907,68.79861111111111,0,0.0,0,0.0
pleia,2,44,cqr_static,single_sample,combined,None,None:segment:0,9907,68.79861111111111,197,2.863429898051882,6730,46.73611111111111
pleia,2,44,cqr_static,30min_3of3,numerical_only,None,None:segment:0,9907,68.79861111111111,109,1.5843343090743918,6403,44.46527777777778
pleia,2,44,cqr_static,30min_3of3,availability_only,None,None:segment:0,9907,68.79861111111111,0,0.0,0,0.0
pleia,2,44,cqr_static,30min_3of3,combined,None,None:segment:0,9907,68.79861111111111,109,1.5843343090743918,6403,44.46527777777778
pleia,2,44,cqr_static,60min_4of6,numerical_only,None,None:segment:0,9907,68.79861111111111,80,1.1628141717977187,6615,45.9375
pleia,2,44,cqr_static,60min_4of6,availability_only,None,None:segment:0,9907,68.79861111111111,0,0.0,0,0.0
pleia,2,44,cqr_static,60min_4of6,combined,None,None:segment:0,9907,68.79861111111111,80,1.1628141717977187,6615,45.9375
pleia,2,44,cqr_static,180min_3of18,numerical_only,None,None:segment:0,9907,68.79861111111111,31,0.450590491571616,7556,52.47222222222222
pleia,2,44,cqr_static,180min_3of18,availability_only,None,None:segment:0,9907,68.79861111111111,0,0.0,0,0.0
pleia,2,44,cqr_static,180min_3of18,combined,None,None:segment:0,9907,68.79861111111111,31,0.450590491571616,7556,52.47222222222222
pleia,2,44,cqr_static,360min_4of36,numerical_only,None,None:segment:0,9907,68.79861111111111,18,0.2616331886544867,7938,55.125
pleia,2,44,cqr_static,360min_4of36,availability_only,None,None:segment:0,9907,68.79861111111111,0,0.0,0,0.0
pleia,2,44,cqr_static,360min_4of36,combined,None,None:segment:0,9907,68.79861111111111,18,0.2616331886544867,7938,55.125
pleia,2,44,cqr_rolling,single_sample,numerical_only,None,None:segment:0,9907,68.79861111111111,203,2.9506409609367115,911,6.326388888888888
pleia,2,44,cqr_rolling,single_sample,availability_only,None,None:segment:0,9907,68.79861111111111,0,0.0,0,0.0
pleia,2,44,cqr_rolling,single_sample,combined,None,None:segment:0,9907,68.79861111111111,203,2.9506409609367115,911,6.326388888888888
pleia,2,44,cqr_rolling,30min_3of3,numerical_only,None,None:segment:0,9907,68.79861111111111,89,1.2936307661249622,595,4.131944444444445
pleia,2,44,cqr_rolling,30min_3of3,availability_only,None,None:segment:0,9907,68.79861111111111,0,0.0,0,0.0
