dataset,outer_fold,model_seed,horizon,level,method,support,n,coverage,signed_coverage_deviation,absolute_coverage_deviation,mpiw,winkler,mae,rmse,sum_absolute_error,sum_squared_error,sum_width,sum_winkler,covered_count,available_count,unavailable_count,raw_crossed,status
bdg2,2,42,1,0.9,quantile_uncalibrated,common,34590,0.830586874819312,-0.0694131251806881,0.0694131251806881,68.4461630595635,118.829767973063,17.2460194168647,35.6771433390935,596539.811629351,44028177.481034,2367552.7802303,4110321.67418825,28730,34590,0,0,complete
bdg2,2,42,1,0.9,cqr,common,34590,0.880254408788667,-0.0197455912113327,0.0197455912113327,72.9654557611197,117.638605415846,17.2460194168647,35.6771433390935,596539.811629351,44028177.481034,2523875.11477713,4069119.36133411,30448,34590,0,0,complete
bdg2,2,42,1,0.9,recentred_enbpi_static,common,34590,0.899363978028332,-0.0006360219716681,0.0006360219716681,100.451612945557,183.89013674504,23.0222510313096,38.3731275504901,796339.663173,50933668.3938338,3474621.29178681,6360759.83001093,31109,34590,0,0,complete
bdg2,2,42,1,0.9,recentred_enbpi_updated,common,34590,0.901850245735762,0.0018502457357617,0.0018502457357617,85.1983560130384,133.738558468083,23.0222510313096,38.3731275504901,796339.663173,50933668.3938338,2947011.134491,4626016.737411,31195,34590,0,0,complete
bdg2,2,42,1,0.9,dscp,common,34590,0.899595258745302,-0.0004047412546979,0.0004047412546979,82.4614236263566,151.655883174034,17.7613768640031,34.9750725963786,614366.025725868,42312414.7709884,2852340.64323567,5245776.99898984,31117,34590,0,0,complete
bdg2,2,42,1,0.95,quantile_uncalibrated,common,34590,0.886152067071408,-0.063847932928592,0.063847932928592,89.4763766232813,154.581335055264,17.2460194168647,35.6771433390935,596539.811629351,44028177.481034,3094987.8673993,5346968.37956158,30652,34590,0,0,complete
bdg2,2,42,1,0.95,cqr,common,34590,0.949956634865568,-4.33651344319275e-05,4.33651344319275e-05,97.8401162028348,152.502298390282,17.2460194168647,35.6771433390935,596539.811629351,44028177.481034,3384289.61945606,5275054.50131987,32859,34590,0,0,complete
bdg2,2,42,1,0.95,recentred_enbpi_static,common,34590,0.946082682856317,-0.0039173171436831,0.0039173171436831,143.602272460938,246.89058281622,23.0222510313096,38.3731275504901,796339.663173,50933668.3938338,4967202.60442383,8539945.25961303,32725,34590,0,0,complete
bdg2,2,42,1,0.95,recentred_enbpi_updated,common,34590,0.950650477016479,0.0006504770164788,0.0006504770164788,117.022371826742,168.868963014947,23.0222510313096,38.3731275504901,796339.663173,50933668.3938338,4047803.841487,5841177.430687,32883,34590,0,0,complete
bdg2,2,42,1,0.95,dscp,common,34590,0.946285053483666,-0.0037149465163341,0.0037149465163341,116.160133095224,202.519884229761,17.7613768640031,34.9750725963786,614366.025725868,42312414.7709884,4017979.00376381,7005162.79550743,32732,34590,0,0,complete
bdg2,2,42,3,0.9,quantile_uncalibrated,common,34590,0.81673894189072,-0.0832610581092802,0.0832610581092802,99.3671614291526,173.432803624869,26.3213575814522,54.532547643004,910455.758742432,102863698.846779,3437110.11383439,5999040.67738422,28251,34590,0,0,complete
bdg2,2,42,3,0.9,cqr,common,34590,0.869615495808037,-0.030384504191963,0.030384504191963,105.995541625987,170.946688922936,26.3213575814522,54.532547643004,910455.758742432,102863698.846779,3666385.78484289,5913045.96984436,30080,34590,0,0,complete
bdg2,2,42,3,0.9,recentred_enbpi_static,common,34590,0.905145995952588,0.0051459959525874,0.0051459959525874,153.853743001302,271.760099021871,32.019327356259,55.9983295661869,1107548.533253,108467768.702291,5321800.97041504,9400181.8251665,31309,34590,0,0,complete
bdg2,2,42,3,0.9,recentred_enbpi_updated,common,34590,0.908557386527898,0.0085573865278981,0.0085573865278981,131.750959841804,195.754083909454,32.019327356259,55.9983295661869,1107548.533253,108467768.702291,4557265.700928,6771133.762428,31427,34590,0,0,complete
bdg2,2,42,3,0.9,dscp,common,34590,0.895981497542642,-0.0040185024573576,0.0040185024573576,120.917774872987,227.720928185431,26.9680414888871,52.1160267317743,932824.555100603,93949215.5813997,4182545.8328566,7876866.90593407,30992,34590,0,0,complete
bdg2,2,42,3,0.95,quantile_uncalibrated,common,34590,0.86990459670425,-0.0800954032957501,0.0800954032957501,123.207600948696,223.062119144233,26.3213575814522,54.532547643004,910455.758742432,102863698.846779,4261750.91681538,7715718.70119901,30090,34590,0,0,complete
bdg2,2,42,3,0.95,cqr,common,34590,0.951373229257011,0.0013732292570107,0.0013732292570107,137.879314365637,217.717748693786,26.3213575814522,54.532547643004,910455.758742432,102863698.846779,4769245.48390737,7530856.92731806,32908,34590,0,0,complete
bdg2,2,42,3,0.95,recentred_enbpi_static,common,34590,0.949291702804279,-0.0007082971957212,0.0007082971957212,217.719763671875,365.264059184995,32.019327356259,55.9983295661869,1107548.533253,108467768.702291,7530926.62541015,12634483.807209,32836,34590,0,0,complete
bdg2,2,42,3,0.95,recentred_enbpi_updated,common,34590,0.953310205261636,0.0033102052616363,0.0033102052616363,172.382282965424,244.771843483492,32.019327356259,55.9983295661869,1107548.533253,108467768.702291,5962703.167774,8466658.066094,32975,34590,0,0,complete
bdg2,2,42,3,0.95,dscp,common,34590,0.949233882625036,-0.0007661173749637,0.0007661173749637,175.962092245561,306.398898522269,26.9680414888871,52.1160267317743,932824.555100603,93949215.5813997,6086528.77077397,10598337.8998853,32834,34590,0,0,complete
