group_id,status,pre_coverage,window_steps,recovery_minutes,recovery_censored,followup_minutes,role,candidate_id,catalogue_seed
Fox_education_Henrietta,observed,1.0,24,1440.0,False,6120.0,inner0_selection,c0002_fa76e087b17d,44
Hog_assembly_Colette,observed,1.0,3,180.0,False,840.0,inner0_selection,c0002_fa76e087b17d,44
Hog_assembly_Dona,observed,0.9555555555555556,3,180.0,False,720.0,inner0_selection,c0002_fa76e087b17d,44
Lamb_assembly_Bertie,observed,0.7368421052631579,4,360.0,False,1020.0,inner0_selection,c0002_fa76e087b17d,44
Lamb_assembly_Cesar,observed,0.9545454545454546,2,120.0,False,540.0,inner0_selection,c0002_fa76e087b17d,44
Moose_education_Ricardo,observed,1.0,10,600.0,False,2400.0,inner0_selection,c0002_fa76e087b17d,44
Mouse_health_Estela,observed,1.0,24,1440.0,False,6000.0,inner0_selection,c0002_fa76e087b17d,44
Mouse_health_Justin,observed,1.0,6,1200.0,False,1500.0,inner0_selection,c0002_fa76e087b17d,44
Eagle_assembly_Benny,observed,1.0,10,840.0,False,2520.0,inner0_selection,c0002_fa76e087b17d,45
Eagle_assembly_Ian,observed,1.0,7,420.0,False,1680.0,inner0_selection,c0002_fa76e087b17d,45
Fox_education_Henrietta,observed,1.0,24,1440.0,False,6540.0,inner0_selection,c0002_fa76e087b17d,45
Hog_assembly_Colette,observed,1.0,14,1980.0,False,3540.0,inner0_selection,c0002_fa76e087b17d,45
Hog_assembly_Dona,observed,0.9607843137254902,1,60.0,False,360.0,inner0_selection,c0002_fa76e087b17d,45
Lamb_assembly_Bertie,observed,1.0,6,960.0,False,1440.0,inner0_selection,c0002_fa76e087b17d,45
Lamb_assembly_Cesar,observed,1.0,7,420.0,False,1680.0,inner0_selection,c0002_fa76e087b17d,45
Moose_education_Ricardo,observed,1.0,10,600.0,False,2400.0,inner0_selection,c0002_fa76e087b17d,45
Mouse_health_Estela,observed,1.0,1,60.0,False,300.0,inner0_selection,c0002_fa76e087b17d,45
Mouse_health_Justin,observed,0.8494623655913979,7,480.0,False,1680.0,inner0_selection,c0002_fa76e087b17d,45
Eagle_assembly_Benny,observed,1.0,24,5760.0,False,8400.0,inner0_selection,c0002_fa76e087b17d,46
Eagle_assembly_Ian,observed,1.0,7,420.0,False,1800.0,inner0_selection,c0002_fa76e087b17d,46
Fox_education_Henrietta,observed,1.0,10,1140.0,False,2400.0,inner0_selection,c0002_fa76e087b17d,46
Hog_assembly_Colette,observed,1.0,21,1260.0,False,5100.0,inner0_selection,c0002_fa76e087b17d,46
Hog_assembly_Dona,observed,1.0,19,1140.0,False,4680.0,inner0_selection,c0002_fa76e087b17d,46
Lamb_assembly_Bertie,observed,0.75,8,720.0,False,1920.0,inner0_selection,c0002_fa76e087b17d,46
Lamb_assembly_Cesar,observed,0.8632478632478633,10,660.0,False,2400.0,inner0_selection,c0002_fa76e087b17d,46
Moose_education_Ricardo,observed,1.0,2,120.0,False,660.0,inner0_selection,c0002_fa76e087b17d,46
Mouse_health_Estela,observed,1.0,22,1320.0,False,5280.0,inner0_selection,c0002_fa76e087b17d,46
Mouse_health_Justin,right_censored,0.8571428571428571,5,,True,1380.0,inner0_selection,c0002_fa76e087b17d,46
Eagle_assembly_Benny,observed,1.0,1,60.0,False,420.0,inner0_selection,c0012_23099bed3753,42
Eagle_assembly_Ian,observed,1.0,8,480.0,False,2040.0,inner0_selection,c0012_23099bed3753,42
Fox_education_Henrietta,observed,1.0,17,1020.0,False,4140.0,inner0_selection,c0012_23099bed3753,42
Hog_assembly_Colette,observed,0.9835164835164835,1,60.0,False,420.0,inner0_selection,c0012_23099bed3753,42
Hog_assembly_Dona,observed,1.0,4,240.0,False,1080.0,inner0_selection,c0012_23099bed3753,42
Lamb_assembly_Bertie,observed,0.8613861386138614,12,1860.0,False,3000.0,inner0_selection,c0012_23099bed3753,42
Lamb_assembly_Cesar,observed,0.9777777777777777,6,660.0,False,1440.0,inner0_selection,c0012_23099bed3753,42
Moose_education_Ricardo,observed,1.0,7,420.0,False,1800.0,inner0_selection,c0012_23099bed3753,42
Mouse_health_Estela,observed,0.9895833333333334,14,840.0,False,3540.0,inner0_selection,c0012_23099bed3753,42
Mouse_health_Justin,right_censored,0.8947368421052632,1,,True,180.0,inner0_selection,c0012_23099bed3753,42
Eagle_assembly_Benny,right_censored,0.9111111111111111,5,,True,1380.0,inner0_selection,c0012_23099bed3753,43
Eagle_assembly_Ian,observed,1.0,13,780.0,False,3300.0,inner0_selection,c0012_23099bed3753,43
Fox_education_Henrietta,observed,1.0,9,960.0,False,2280.0,inner0_selection,c0012_23099bed3753,43
Hog_assembly_Colette,observed,1.0,5,300.0,False,1320.0,inner0_selection,c0012_23099bed3753,43
Hog_assembly_Dona,observed,0.963302752293578,24,1440.0,False,7440.0,inner0_selection,c0012_23099bed3753,43
Lamb_assembly_Bertie,right_censored,0.9375,1,,True,240.0,inner0_selection,c0012_23099bed3753,43
Lamb_assembly_Cesar,observed,1.0,24,1440.0,False,7260.0,inner0_selection,c0012_23099bed3753,43
Moose_education_Ricardo,observed,1.0,9,540.0,False,2340.0,inner0_selection,c0012_23099bed3753,43
Mouse_health_Estela,observed,1.0,7,420.0,False,1860.0,inner0_selection,c0012_23099bed3753,43
Mouse_health_Justin,right_censored,0.9428571428571428,7,,True,1680.0,inner0_selection,c0012_23099bed3753,43
Eagle_assembly_Benny,observed,1.0,1,60.0,False,180.0,inner0_selection,c0012_23099bed3753,44
Eagle_assembly_Ian,observed,0.9849246231155779,1,120.0,False,360.0,inner0_selection,c0012_23099bed3753,44
Fox_education_Henrietta,observed,1.0,24,1440.0,False,6120.0,inner0_selection,c0012_23099bed3753,44
Hog_assembly_Colette,observed,1.0,3,180.0,False,840.0,inner0_selection,c0012_23099bed3753,44
Hog_assembly_Dona,observed,0.9555555555555556,3,180.0,False,720.0,inner0_selection,c0012_23099bed3753,44
Lamb_assembly_Bertie,right_censored,0.8157894736842105,4,,True,1020.0,inner0_selection,c0012_23099bed3753,44
Lamb_assembly_Cesar,observed,1.0,2,120.0,False,540.0,inner0_selection,c0012_23099bed3753,44
Moose_education_Ricardo,observed,1.0,10,600.0,False,2400.0,inner0_selection,c0012_23099bed3753,44
Mouse_health_Estela,observed,1.0,24,1440.0,False,6000.0,inner0_selection,c0012_23099bed3753,44
Mouse_health_Justin,observed,1.0,6,1200.0,False,1500.0,inner0_selection,c0012_23099bed3753,44
Eagle_assembly_Benny,observed,1.0,10,840.0,False,2520.0,inner0_selection,c0012_23099bed3753,45
Eagle_assembly_Ian,observed,1.0,7,420.0,False,1680.0,inner0_selection,c0012_23099bed3753,45
Fox_education_Henrietta,observed,1.0,24,1440.0,False,6540.0,inner0_selection,c0012_23099bed3753,45
Hog_assembly_Colette,observed,1.0,14,1980.0,False,3540.0,inner0_selection,c0012_23099bed3753,45
Hog_assembly_Dona,observed,0.9607843137254902,1,60.0,False,360.0,inner0_selection,c0012_23099bed3753,45
Lamb_assembly_Bertie,observed,1.0,6,660.0,False,1440.0,inner0_selection,c0012_23099bed3753,45
Lamb_assembly_Cesar,observed,1.0,7,420.0,False,1680.0,inner0_selection,c0012_23099bed3753,45
Moose_education_Ricardo,observed,1.0,10,600.0,False,2400.0,inner0_selection,c0012_23099bed3753,45
Mouse_health_Estela,observed,1.0,1,60.0,False,300.0,inner0_selection,c0012_23099bed3753,45
Mouse_health_Justin,observed,0.8817204301075269,7,480.0,False,1680.0,inner0_selection,c0012_23099bed3753,45
Eagle_assembly_Benny,observed,1.0,24,1440.0,False,8400.0,inner0_selection,c0012_23099bed3753,46
Eagle_assembly_Ian,observed,1.0,7,420.0,False,1800.0,inner0_selection,c0012_23099bed3753,46
Fox_education_Henrietta,observed,1.0,10,1140.0,False,2400.0,inner0_selection,c0012_23099bed3753,46
Hog_assembly_Colette,observed,1.0,21,1260.0,False,5100.0,inner0_selection,c0012_23099bed3753,46
Hog_assembly_Dona,observed,1.0,19,1140.0,False,4680.0,inner0_selection,c0012_23099bed3753,46
Lamb_assembly_Bertie,right_censored,0.825,8,,True,1920.0,inner0_selection,c0012_23099bed3753,46
Lamb_assembly_Cesar,observed,0.9572649572649573,10,600.0,False,2400.0,inner0_selection,c0012_23099bed3753,46
Moose_education_Ricardo,observed,1.0,2,120.0,False,660.0,inner0_selection,c0012_23099bed3753,46
Mouse_health_Estela,observed,1.0,22,1320.0,False,5280.0,inner0_selection,c0012_23099bed3753,46
Mouse_health_Justin,right_censored,0.88,5,,True,1380.0,inner0_selection,c0012_23099bed3753,46
Eagle_assembly_Benny,observed,1.0,1,60.0,False,420.0,inner0_selection,c0013_a21278d4e492,42
Eagle_assembly_Ian,observed,1.0,8,480.0,False,2040.0,inner0_selection,c0013_a21278d4e492,42
Fox_education_Henrietta,observed,1.0,17,1020.0,False,4140.0,inner0_selection,c0013_a21278d4e492,42
Hog_assembly_Colette,observed,0.9835164835164835,1,60.0,False,420.0,inner0_selection,c0013_a21278d4e492,42
Hog_assembly_Dona,observed,1.0,4,240.0,False,1080.0,inner0_selection,c0013_a21278d4e492,42
Lamb_assembly_Bertie,observed,0.8613861386138614,12,1860.0,False,3000.0,inner0_selection,c0013_a21278d4e492,42
Lamb_assembly_Cesar,observed,0.9777777777777777,6,660.0,False,1440.0,inner0_selection,c0013_a21278d4e492,42
Moose_education_Ricardo,observed,1.0,7,420.0,False,1800.0,inner0_selection,c0013_a21278d4e492,42
Mouse_health_Estela,observed,0.9895833333333334,14,840.0,False,3540.0,inner0_selection,c0013_a21278d4e492,42
Mouse_health_Justin,right_censored,0.8947368421052632,1,,True,180.0,inner0_selection,c0013_a21278d4e492,42
Eagle_assembly_Benny,right_censored,0.9111111111111111,5,,True,1380.0,inner0_selection,c0013_a21278d4e492,43
Eagle_assembly_Ian,observed,1.0,13,780.0,False,3300.0,inner0_selection,c0013_a21278d4e492,43
Fox_education_Henrietta,observed,1.0,9,960.0,False,2280.0,inner0_selection,c0013_a21278d4e492,43
Hog_assembly_Colette,observed,1.0,5,300.0,False,1320.0,inner0_selection,c0013_a21278d4e492,43
Hog_assembly_Dona,observed,0.963302752293578,24,1440.0,False,7440.0,inner0_selection,c0013_a21278d4e492,43
Lamb_assembly_Bertie,right_censored,0.9375,1,,True,240.0,inner0_selection,c0013_a21278d4e492,43
Lamb_assembly_Cesar,observed,1.0,24,1440.0,False,7260.0,inner0_selection,c0013_a21278d4e492,43
Moose_education_Ricardo,observed,1.0,9,540.0,False,2340.0,inner0_selection,c0013_a21278d4e492,43
Mouse_health_Estela,observed,1.0,7,420.0,False,1860.0,inner0_selection,c0013_a21278d4e492,43
Mouse_health_Justin,right_censored,0.9428571428571428,7,,True,1680.0,inner0_selection,c0013_a21278d4e492,43
Eagle_assembly_Benny,observed,1.0,1,60.0,False,180.0,inner0_selection,c0013_a21278d4e492,44
Eagle_assembly_Ian,observed,0.9849246231155779,1,120.0,False,360.0,inner0_selection,c0013_a21278d4e492,44
Fox_education_Henrietta,observed,1.0,24,1440.0,False,6120.0,inner0_selection,c0013_a21278d4e492,44
Hog_assembly_Colette,observed,1.0,3,180.0,False,840.0,inner0_selection,c0013_a21278d4e492,44
Hog_assembly_Dona,observed,0.9555555555555556,3,180.0,False,720.0,inner0_selection,c0013_a21278d4e492,44
Lamb_assembly_Bertie,right_censored,0.8157894736842105,4,,True,1020.0,inner0_selection,c0013_a21278d4e492,44
Lamb_assembly_Cesar,observed,1.0,2,120.0,False,540.0,inner0_selection,c0013_a21278d4e492,44
Moose_education_Ricardo,observed,1.0,10,600.0,False,2400.0,inner0_selection,c0013_a21278d4e492,44
Mouse_health_Estela,observed,1.0,24,1440.0,False,6000.0,inner0_selection,c0013_a21278d4e492,44
Mouse_health_Justin,observed,1.0,6,1200.0,False,1500.0,inner0_selection,c0013_a21278d4e492,44
Eagle_assembly_Benny,observed,1.0,10,840.0,False,2520.0,inner0_selection,c0013_a21278d4e492,45
Eagle_assembly_Ian,observed,1.0,7,420.0,False,1680.0,inner0_selection,c0013_a21278d4e492,45
Fox_education_Henrietta,observed,1.0,24,1440.0,False,6540.0,inner0_selection,c0013_a21278d4e492,45
Hog_assembly_Colette,observed,1.0,14,1980.0,False,3540.0,inner0_selection,c0013_a21278d4e492,45
Hog_assembly_Dona,observed,0.9607843137254902,1,60.0,False,360.0,inner0_selection,c0013_a21278d4e492,45
Lamb_assembly_Bertie,observed,1.0,6,660.0,False,1440.0,inner0_selection,c0013_a21278d4e492,45
Lamb_assembly_Cesar,observed,1.0,7,420.0,False,1680.0,inner0_selection,c0013_a21278d4e492,45
Moose_education_Ricardo,observed,1.0,10,600.0,False,2400.0,inner0_selection,c0013_a21278d4e492,45
Mouse_health_Estela,observed,1.0,1,60.0,False,300.0,inner0_selection,c0013_a21278d4e492,45
Mouse_health_Justin,observed,0.8817204301075269,7,480.0,False,1680.0,inner0_selection,c0013_a21278d4e492,45
Eagle_assembly_Benny,observed,1.0,24,1440.0,False,8400.0,inner0_selection,c0013_a21278d4e492,46
Eagle_assembly_Ian,observed,1.0,7,420.0,False,1800.0,inner0_selection,c0013_a21278d4e492,46
Fox_education_Henrietta,observed,1.0,10,1140.0,False,2400.0,inner0_selection,c0013_a21278d4e492,46
Hog_assembly_Colette,observed,1.0,21,1260.0,False,5100.0,inner0_selection,c0013_a21278d4e492,46
Hog_assembly_Dona,observed,1.0,19,1140.0,False,4680.0,inner0_selection,c0013_a21278d4e492,46
Lamb_assembly_Bertie,right_censored,0.825,8,,True,1920.0,inner0_selection,c0013_a21278d4e492,46
Lamb_assembly_Cesar,observed,0.9572649572649573,10,600.0,False,2400.0,inner0_selection,c0013_a21278d4e492,46
Moose_education_Ricardo,observed,1.0,2,120.0,False,660.0,inner0_selection,c0013_a21278d4e492,46
Mouse_health_Estela,observed,1.0,22,1320.0,False,5280.0,inner0_selection,c0013_a21278d4e492,46
Mouse_health_Justin,right_censored,0.88,5,,True,1380.0,inner0_selection,c0013_a21278d4e492,46
Eagle_assembly_Benny,observed,1.0,1,60.0,False,420.0,inner0_selection,c0014_54a0e1ef5720,42
Eagle_assembly_Ian,observed,1.0,8,480.0,False,2040.0,inner0_selection,c0014_54a0e1ef5720,42
