dataset,seed,outer_fold,group_id,empirical_coverage,n
bdg2,44,2,Mouse_health_Estela,0.9031421158835399,3469
bdg2,44,2,Mouse_health_Justin,0.9642548284808302,3469
bdg2,44,2,Eagle_assembly_Benny,0.928221389449409,3469
bdg2,44,2,Eagle_assembly_Ian,0.8261746901124243,3469
bdg2,44,2,Fox_education_Henrietta,0.9486883828192563,3469
bdg2,44,2,Hog_assembly_Colette,0.904555940023068,3468
bdg2,44,2,Hog_assembly_Dona,0.8996539792387543,3468
bdg2,45,0,Mouse_health_Estela,0.970504009163803,3492
bdg2,45,0,Mouse_health_Justin,0.9871134020618557,3492
bdg2,45,0,Eagle_assembly_Benny,0.9177885992552277,3491
bdg2,45,0,Eagle_assembly_Ian,0.8957318819822401,3491
bdg2,45,0,Fox_education_Henrietta,0.9077628186765969,3491
bdg2,45,0,Hog_assembly_Colette,0.8613577771412203,3491
bdg2,45,0,Hog_assembly_Dona,0.920080206244629,3491
bdg2,45,0,Lamb_assembly_Bertie,0.7115439702091091,3491
bdg2,45,0,Lamb_assembly_Cesar,0.7401890575766256,3491
bdg2,45,0,Moose_education_Ricardo,0.9424792371577976,3251
bdg2,45,1,Hog_assembly_Colette,0.9433582518688902,3478
bdg2,45,1,Hog_assembly_Dona,0.9166187464059804,3478
bdg2,45,1,Lamb_assembly_Bertie,0.9804429105550763,3477
bdg2,45,1,Lamb_assembly_Cesar,1.0,3477
bdg2,45,1,Moose_education_Ricardo,0.9428148148148148,3375
bdg2,45,1,Mouse_health_Estela,0.8921484037963762,3477
bdg2,45,1,Mouse_health_Justin,0.7880356629278114,3477
bdg2,45,1,Eagle_assembly_Benny,0.9148691400632729,3477
bdg2,45,1,Eagle_assembly_Ian,0.9643370721886684,3477
bdg2,45,1,Fox_education_Henrietta,0.5001438021282715,3477
bdg2,45,2,Lamb_assembly_Bertie,0.9285096569616604,3469
bdg2,45,2,Lamb_assembly_Cesar,0.8374171230902278,3469
bdg2,45,2,Moose_education_Ricardo,0.8667053028107795,3451
bdg2,45,2,Mouse_health_Estela,0.9031421158835399,3469
bdg2,45,2,Mouse_health_Justin,0.9642548284808302,3469
bdg2,45,2,Eagle_assembly_Benny,0.928221389449409,3469
