dataset,outer_fold,model_seed,horizon,level,method,n,coverage,signed_coverage_deviation,absolute_coverage_deviation,mpiw,winkler,mae,rmse,sum_absolute_error,sum_squared_error,sum_width,sum_winkler,covered_count,available_count,unavailable_count,raw_crossed,status
bdg2,2,44,1,0.9,seasonal_naive,34640,0.9123267898383371,0.012326789838337127,0.012326789838337127,258.18600000000004,467.5558364896074,42.55805887413395,93.14333563540711,1474211.1594,300525588.91476905,8943563.040000001,16196134.175999999,31603,34640,0,0,complete
bdg2,2,44,1,0.95,seasonal_naive,34640,0.9532332563510393,0.0032332563510393264,0.0032332563510393264,369.1260000000001,644.8874213625865,42.55805887413395,93.14333563540711,1474211.1594,300525588.91476905,12786524.640000002,22338900.275999993,33020,34640,0,0,complete
bdg2,2,44,3,0.9,seasonal_naive,34640,0.91229792147806,0.01229792147805997,0.01229792147805997,258.1439999999993,467.5506621247112,42.554705811200925,93.14043516407885,1474095.0093,300506872.55086976,8942108.159999976,16195954.935999997,31602,34640,0,0,complete
bdg2,2,44,3,0.95,seasonal_naive,34640,0.9526847575057736,0.0026847575057736828,0.0026847575057736828,367.6,644.7954114318704,42.554705811200925,93.14043516407885,1474095.0093,300506872.55086976,12733664.0,22335713.051999994,33001,34640,0,0,complete
bdg2,2,44,6,0.9,seasonal_naive,34640,0.912269053117783,0.012269053117782924,0.012269053117782924,258.0,467.5329923787529,42.54180525404157,93.13294106096956,1473648.134,300458516.77747124,8937120.0,16195342.856,31601,34640,0,0,complete
bdg2,2,44,6,0.95,seasonal_naive,34640,0.9526558891454965,0.002655889145496526,0.002655889145496526,367.5,644.7900904157042,42.54180525404157,93.13294106096956,1473648.134,300458516.77747124,12730200.0,22335528.731999993,33000,34640,0,0,complete
