dataset,horizon,outer_fold,model_seed,target_units,physical_minutes,source_run,source_hash,protocol_hash,new_batch_unit,model,n_fit,n_calibration,n_test,mae,rmse,selected_candidate,final_epochs,estimator_class,tuning_seconds,final_fit_seconds,calibration_seconds,inference_seconds,inference_rows_per_second,model_phase_seconds,process_cpu_seconds,cpu_measurement_status,coverage90,mpiw90,winkler90,rank90,q90,coverage_deviation90,coverage95,mpiw95,winkler95,rank95,q95,coverage_deviation95,signed_coverage_deviation90,absolute_coverage_deviation90,signed_coverage_deviation95,absolute_coverage_deviation95,deterministic_baseline_alias
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,False,persistence,12932,4452,8692,0.07447077772664519,0.12451008457023498,0,,src.pilot_forecasters.Persistence,0.0,0.0005201999956625514,0.003924500000721309,0.003927400000975467,2213169.017121028,0.008372099997359328,0.015625,measured,0.9282098481362172,0.3999999999999986,0.6013345605154169,4008,0.1999999999999993,0.028209848136217186,0.9723884031293143,0.6000000000000014,0.7808559595029918,4231,0.3000000000000007,0.022388403129314338,0.028209848136217186,0.028209848136217186,0.022388403129314338,0.022388403129314338,True
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,False,xgboost,12932,4452,8692,0.24349519415380105,0.41148572415493,1,,xgboost.sklearn.XGBRegressor,3.8201040999992983,1.6232746000023326,0.1166499000028125,0.20028820000152336,43397.4642536799,5.760316800005967,5.484375,measured,0.5679935572940635,0.3424011230468764,2.866583804759457,4008,0.1712005615234382,-0.3320064427059365,0.7346985734008283,0.5625030517578153,4.1114770709343516,4231,0.28125152587890767,-0.21530142659917162,-0.3320064427059365,0.3320064427059365,-0.21530142659917162,0.21530142659917162,False
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,False,attention_lstm,12932,4452,8692,2.2230605132449237,2.702293397046354,1,18.0,src.attention_lstm.AttentionLSTM,114.35792370000127,42.65705210000306,0.23083839999890188,0.4855965999959153,17899.631093119504,157.73141079999914,151.984375,measured,0.16682006442705938,1.361872863769534,33.32642641677539,4008,0.680936431884767,-0.7331799355729407,0.18810400368154626,1.5061462402343722,63.06255947732726,4231,0.7530731201171861,-0.7618959963184537,-0.7331799355729407,0.7331799355729407,-0.7618959963184537,0.7618959963184537,False
bdg2,1,2,42,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,dddadb59c5972ba0474291c8081e54c3173f4957c52de269cdc336d78fbf546e,False,persistence,51664,17370,34640,20.987969087759815,41.67140770234165,0,,src.pilot_forecasters.Persistence,0.0,0.0006069000010029413,0.008299599998281337,0.01850469999772031,1871956.8544352236,0.027411199997004587,0.03125,measured,0.894919168591224,115.80600000000072,207.41386443418008,15634,57.90300000000036,-0.005080831408776021,0.9467667436489607,165.40000000000003,273.690915473441,16503,82.69999999999999,-0.0032332563510392154,-0.005080831408776021,0.005080831408776021,-0.0032332563510392154,0.0032332563510392154,True
bdg2,1,2,42,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,dddadb59c5972ba0474291c8081e54c3173f4957c52de269cdc336d78fbf546e,False,xgboost,51664,17370,34640,17.75433961896247,34.95834656737017,1,,xgboost.sklearn.XGBRegressor,6.686444899998605,2.725211199998739,0.20948499999940395,0.4154615000006743,83377.16009773176,10.036602599997423,9.671875,measured,0.9037528868360277,93.5879851074219,172.1690876859106,15634,46.79399255371095,0.0037528868360277023,0.9478348729792148,135.84407348632817,232.59199136116771,16503,67.92203674316406,-0.002165127020785196,0.0037528868360277023,0.0037528868360277023,-0.002165127020785196,0.002165127020785196,False
bdg2,1,2,42,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,dddadb59c5972ba0474291c8081e54c3173f4957c52de269cdc336d78fbf546e,False,attention_lstm,51664,17370,34640,19.208323272641653,36.034969313698255,0,29.0,src.attention_lstm.AttentionLSTM,618.0770438999971,901.5987344000023,3.222609399999783,6.60562629999913,5244.014485046567,1529.5040139999983,1391.421875,measured,0.9025692840646651,98.60187109374942,176.57696628155787,15634,49.30093554687471,0.002569284064665056,0.9496247113163973,141.03879687500006,236.97746255500203,16503,70.5193984375,-0.0003752886836027036,0.002569284064665056,0.002569284064665056,-0.0003752886836027036,0.0003752886836027036,False
pleia,1,0,42,degrees C,10,smart_building_conformal/outputs/model_comparison_pilot_v1/runs/pilot_v1_20260913,965ff02d8cb67183210632bfbc3a2251c430a2b027b8b44d87df356fd19e3d71,af29d2340427f043c605f777e54389bc86ccbb44c9630aba57964536d0845ce3,False,persistence,29719,9907,9907,0.20377510850913494,0.3274649132433441,0,,src.pilot_forecasters.Persistence,0.0,0.0004923999986203853,0.0053952000016579404,0.0040239000009023584,2462039.3145402116,0.009911500001180684,,not recorded per model in original temperature pilot; wall phases retained,0.9204602806096699,1.0,1.5598061976380337,8918,0.5,0.020460280609669868,0.9596245079236904,1.3999999999999984,1.9842333703442006,9413,0.6999999999999993,0.009624507923690406,0.020460280609669868,0.020460280609669868,0.009624507923690406,0.009624507923690406,True
pleia,1,0,42,degrees C,10,smart_building_conformal/outputs/model_comparison_pilot_v1/runs/pilot_v1_20260913,965ff02d8cb67183210632bfbc3a2251c430a2b027b8b44d87df356fd19e3d71,af29d2340427f043c605f777e54389bc86ccbb44c9630aba57964536d0845ce3,False,xgboost,29719,9907,9907,0.2445261592639736,0.353309709615502,0,,xgboost.sklearn.XGBRegressor,4.353503899998032,1.2833855000026233,0.10583609999957844,0.1025798999980907,96578.3745176628,5.845305399998324,,not recorded per model in original temperature pilot; wall phases retained,0.8871504996467144,0.995648193359372,1.6334668737927278,8918,0.4978240966796861,-0.012849500353285581,0.9363076612496215,1.271244812011716,2.076633822016679,9413,0.635622406005858,-0.013692338750378452,-0.012849500353285581,0.012849500353285581,-0.013692338750378452,0.013692338750378452,False
pleia,1,0,42,degrees C,10,smart_building_conformal/outputs/model_comparison_pilot_v1/runs/pilot_v1_20260913,965ff02d8cb67183210632bfbc3a2251c430a2b027b8b44d87df356fd19e3d71,af29d2340427f043c605f777e54389bc86ccbb44c9630aba57964536d0845ce3,False,attention_lstm,29719,9907,9907,0.3610993958751694,0.48662172202262477,0,20.0,src.attention_lstm.AttentionLSTM,252.91565009999977,82.52771489999941,0.3792401999999129,0.3653656000024057,27115.30587426613,336.1879708000015,,not recorded per model in original temperature pilot; wall phases retained,0.8724134450388614,1.3804168701171875,2.17718302860647,8918,0.6902084350585938,-0.0275865549611386,0.9227818714040578,1.668119812011717,2.6856906025660225,9413,0.8340599060058587,-0.027218128595942193,-0.0275865549611386,0.0275865549611386,-0.027218128595942193,0.027218128595942193,False
pleia,3,0,42,degrees C,30,smart_building_conformal/outputs/model_comparison_pilot_v1/runs/pilot_v1_20260913,965ff02d8cb67183210632bfbc3a2251c430a2b027b8b44d87df356fd19e3d71,af29d2340427f043c605f777e54389bc86ccbb44c9630aba57964536d0845ce3,False,persistence,29715,9906,9907,0.3773493489451903,0.6099061114818022,0,,src.pilot_forecasters.Persistence,0.0,0.000872299999173265,0.005169799998839153,0.004166999999142718,2377489.801305059,0.010209099997155135,,not recorded per model in original temperature pilot; wall phases retained,0.892702129807207,1.6000000000000016,2.9449076410618753,8917,0.8000000000000007,-0.007297870192793043,0.9417583526799232,2.200000000000003,3.825517310992226,9412,1.1000000000000014,-0.008241647320076706,-0.007297870192793043,0.007297870192793043,-0.008241647320076706,0.008241647320076706,True
