model_seed,scope,control_id,target,streams,n,unavailable_n,coverage,mpiw,winkler,mpiw_units,winkler_units
42,identity,cqr_rolling,clean_counterfactual,68,9792.0,0.0,0.7477532679738562,7.572011259449846,22.914269297591666,degC,degC
42,identity,cqr_rolling,corrupted_observation,68,9792.0,0.0,0.7477532679738562,7.572011259449846,22.914269297591666,degC,degC
42,identity,cqr_static,clean_counterfactual,68,9792.0,0.0,0.3284313725490196,3.3416657474936473,53.10840107632676,degC,degC
42,identity,cqr_static,corrupted_observation,68,9792.0,0.0,0.3284313725490196,3.3416657474936473,53.10840107632676,degC,degC
42,identity,persistence_static,clean_counterfactual,68,9792.0,0.0,0.9647671568627451,1.5999999999999945,1.9080065359477103,degC,degC
42,identity,persistence_static,corrupted_observation,68,9792.0,0.0,0.9647671568627451,1.5999999999999945,1.9080065359477103,degC,degC
42,identity,quantile_static,clean_counterfactual,68,9792.0,0.0,0.22661356209150327,2.668071782289659,71.7245227229306,degC,degC
42,identity,quantile_static,corrupted_observation,68,9792.0,0.0,0.22661356209150327,2.668071782289659,71.7245227229306,degC,degC
42,all_scheduled_fault_slots,cqr_rolling,clean_counterfactual,2856,411264.0,0.0,0.7439843993152817,7.708353689404058,23.79746830616838,degC,degC
42,all_scheduled_fault_slots,cqr_rolling,corrupted_observation,2856,409194.0,2070.0,0.7394585453354644,7.705329067472244,25.8759784123352,degC,degC
42,all_scheduled_fault_slots,cqr_static,clean_counterfactual,2856,411264.0,0.0,0.32614330454403984,3.4401097381901393,54.07258631249848,degC,degC
42,all_scheduled_fault_slots,cqr_static,corrupted_observation,2856,409194.0,2070.0,0.3277369658401638,3.4409801650754512,56.23574985477314,degC,degC
42,all_scheduled_fault_slots,persistence_static,clean_counterfactual,2856,411264.0,0.0,0.9469878229069405,1.599999999999994,7.152560692693742,degC,degC
42,all_scheduled_fault_slots,persistence_static,corrupted_observation,2856,409194.0,2070.0,0.9552657174836385,1.5999999999999943,4.614070310317355,degC,degC
42,all_scheduled_fault_slots,quantile_static,clean_counterfactual,2856,411264.0,0.0,0.2250038904450669,2.7665157729861516,72.73861615478906,degC,degC
42,all_scheduled_fault_slots,quantile_static,corrupted_observation,2856,409194.0,2070.0,0.22702190159190996,2.767386199871463,74.7375495760885,degC,degC
42,effective_fault_slots,cqr_rolling,clean_counterfactual,2727,392688.0,0.0,0.7437227519048201,7.712766070894208,23.831095577331602,degC,degC
42,effective_fault_slots,cqr_rolling,corrupted_observation,2727,390618.0,2070.0,0.7389802825266629,7.709620994330706,26.008628289173185,degC,degC
42,effective_fault_slots,cqr_static,clean_counterfactual,2727,392688.0,0.0,0.3261698855070692,3.4438060947008804,54.12589094146846,degC,degC
42,effective_fault_slots,cqr_static,corrupted_observation,2727,390618.0,2070.0,0.32783947488338994,3.4447375031789464,56.39220709458864,degC,degC
42,effective_fault_slots,persistence_static,clean_counterfactual,2727,392688.0,0.0,0.9462041111518559,1.599999999999994,7.399953960192313,degC,degC
42,effective_fault_slots,persistence_static,corrupted_observation,2727,390618.0,2070.0,0.9548715112974825,1.599999999999994,4.74205563123051,degC,degC
42,effective_fault_slots,quantile_static,clean_counterfactual,2727,392688.0,0.0,0.225206779937253,2.770212129496892,72.78862945292937,degC,degC
42,effective_fault_slots,quantile_static,corrupted_observation,2727,390618.0,2070.0,0.22732183360725824,2.7711435379749583,74.88288801224398,degC,degC
42,fullstream_clean,cqr_rolling,clean_counterfactual,1,9907.0,0.0,0.9081457555263954,8.934456053710903,10.35461633305177,degC,degC
42,fullstream_clean,cqr_rolling,corrupted_observation,1,9907.0,0.0,0.9081457555263954,8.934456053710903,10.35461633305177,degC,degC
42,fullstream_clean,cqr_static,clean_counterfactual,1,9907.0,0.0,0.3246189562935298,3.342668845359465,53.473658871614305,degC,degC
42,fullstream_clean,cqr_static,corrupted_observation,1,9907.0,0.0,0.3246189562935298,3.342668845359465,53.473658871614305,degC,degC
42,fullstream_clean,persistence_static,clean_counterfactual,1,9907.0,0.0,0.9651761380841829,1.599999999999994,1.9044312102553735,degC,degC
42,fullstream_clean,persistence_static,corrupted_observation,1,9907.0,0.0,0.9651761380841829,1.599999999999994,1.9044312102553735,degC,degC
42,fullstream_clean,quantile_static,clean_counterfactual,1,9907.0,0.0,0.22398304229332794,2.6690748801554767,72.17694613405521,degC,degC
42,fullstream_clean,quantile_static,corrupted_observation,1,9907.0,0.0,0.22398304229332794,2.6690748801554767,72.17694613405521,degC,degC
